,0,1
0,della,53
550,della,53
752,della,53
738,della,53
707,della,53
696,della,53
252,della,53
676,della,53
1106,della,53
259,della,53
645,della,53
282,della,53
1125,della,53
575,della,53
287,della,53
557,della,53
555,della,53
766,della,53
851,della,53
886,della,53
995,della,53
1081,della,53
1082,della,53
1037,della,53
355,della,53
1005,della,53
1003,della,53
963,della,53
906,della,53
935,della,53
931,della,53
196,della,53
928,della,53
198,della,53
199,della,53
552,della,53
769,della,53
1073,della,53
491,della,53
1163,della,53
332,della,53
535,della,53
4,della,53
391,della,53
455,della,53
327,della,53
326,della,53
469,della,53
474,della,53
425,della,53
373,della,53
384,della,53
518,della,53
112,type:,28
103,type:,28
159,type:,28
121,type:,28
18,type:,28
74,type:,28
16,type:,28
156,type:,28
167,type:,28
14,type:,28
100,type:,28
12,type:,28
82,type:,28
97,type:,28
126,type:,28
84,type:,28
66,type:,28
10,type:,28
148,type:,28
30,type:,28
131,type:,28
59,type:,28
139,type:,28
90,type:,28
24,type:,28
136,type:,28
52,type:,28
41,type:,28
168,priority:,27
99,priority:,27
127,priority:,27
132,priority:,27
102,priority:,27
104,priority:,27
158,priority:,27
113,priority:,27
142,priority:,27
122,priority:,27
137,priority:,27
160,priority:,27
83,priority:,27
67,priority:,27
17,priority:,27
25,priority:,27
91,priority:,27
53,priority:,27
60,priority:,27
75,priority:,27
31,priority:,27
15,priority:,27
13,priority:,27
85,priority:,27
42,priority:,27
11,priority:,27
19,priority:,27
584,delle,18
508,delle,18
596,delle,18
632,delle,18
488,delle,18
528,delle,18
727,delle,18
342,delle,18
144,target:,18
129,target:,18
797,delle,18
152,target:,18
221,delle,18
821,delle,18
218,delle,18
834,delle,18
163,target:,18
836,delle,18
929,delle,18
172,target:,18
302,delle,18
358,delle,18
36,target:,18
70,target:,18
21,target:,18
87,target:,18
79,target:,18
94,target:,18
116,target:,18
56,target:,18
124,target:,18
107,target:,18
63,target:,18
27,target:,18
1181,delle,18
47,target:,18
96,eventname:,16
46,events:,16
35,events:,16
174,eventname:,16
171,events:,16
93,events:,16
38,eventname:,16
81,eventname:,16
89,eventname:,16
86,events:,16
165,eventname:,16
78,events:,16
49,eventname:,16
55,events:,16
72,eventname:,16
69,events:,16
62,events:,16
65,eventname:,16
29,eventname:,16
58,eventname:,16
146,eventname:,16
20,events:,16
162,events:,16
118,eventname:,16
106,events:,16
115,events:,16
23,eventname:,16
109,eventname:,16
151,events:,16
143,events:,16
26,events:,16
154,eventname:,16
639,redazione,14
617,redazione,14
330,redazione,14
260,redazione,14
885,redazione,14
840,redazione,14
706,redazione,14
392,redazione,14
813,redazione,14
386,redazione,14
952,redazione,14
768,redazione,14
545,redazione,14
467,redazione,14
157,flavors:,12
133,flavors:,12
45,flavors:,12
54,flavors:,12
101,flavors:,12
114,flavors:,12
98,flavors:,12
105,flavors:,12
61,flavors:,12
68,flavors:,12
34,flavors:,12
92,flavors:,12
704,nella,11
415,nella,11
590,nella,11
319,anche,11
722,nella,11
410,nella,11
435,nella,11
497,anche,11
397,contro,11
50,callback:,11
451,anche,11
682,anche,11
544,contro,11
654,contro,11
776,nella,11
264,anche,11
627,contro,11
622,contro,11
556,contro,11
39,callback:,11
558,contro,11
569,contro,11
614,contro,11
463,nella,11
594,contro,11
489,nella,11
175,callback:,11
155,callback:,11
138,callback:,11
980,anche,11
974,anche,11
1026,contro,11
1033,anche,11
166,callback:,11
861,anche,11
110,callback:,11
73,callback:,11
147,callback:,11
1040,anche,11
988,anche,11
134,callback:,11
803,nella,11
119,callback:,11
1044,nella,11
270,senza,9
380,sulla,9
298,sulla,9
28,"document,",9
153,"document,",9
475,senza,9
265,sulla,9
108,"document,",9
641,senza,9
520,senza,9
601,senza,9
915,senza,9
285,sulla,9
117,"document,",9
95,"document,",9
256,sulla,9
22,"document,",9
64,"document,",9
943,senza,9
730,sulla,9
173,"document,",9
694,sulla,9
404,sulla,9
57,"document,",9
710,senza,9
280,sulla,9
323,senza,9
517,tutti,8
320,tutti,8
486,tutti,8
294,tutti,8
459,tutti,8
728,tutti,8
367,tutti,8
1172,tutti,8
37,"window,",7
161,legacy:,7
32,legacy:,7
511,antonio,7
169,legacy:,7
504,&amp;,7
164,"window,",7
1154,antonio,7
149,legacy:,7
145,"window,",7
1148,&amp;,7
140,legacy:,7
780,antonio,7
1053,dalla,7
983,dalla,7
88,"window,",7
223,&amp;,7
745,dalla,7
733,antonio,7
71,"window,",7
719,dalla,7
713,dalla,7
216,&amp;,7
210,&amp;,7
680,dalla,7
209,&amp;,7
76,legacy:,7
48,"window,",7
1097,dalla,7
80,"window,",7
208,&amp;,7
605,antonio,7
964,antonio,7
43,legacy:,7
1136,antonio,7
744,giorni,6
715,degli,6
541,degli,6
827,primi,6
819,primi,6
1156,paolo,6
1160,paolo,6
968,agosto,6
973,agosto,6
546,giorni,6
1086,agosto,6
782,dello,6
364,paolo,6
363,video,6
582,video,6
838,primi,6
955,degli,6
850,paolo,6
628,dello,6
631,primi,6
585,agosto,6
899,giorni,6
965,agosto,6
882,degli,6
880,dello,6
998,degli,6
526,degli,6
1145,paolo,6
1096,video,6
681,dello,6
532,dello,6
687,paolo,6
688,giorni,6
559,giorni,6
591,video,6
44,"true,",6
200,video,6
213,dello,6
33,"true,",6
77,"true,",6
206,video,6
249,primi,6
191,giorni,6
243,primi,6
239,agosto,6
141,"true,",6
170,"true,",6
150,"true,",6
1010,storia,5
763,migliori,5
975,molto,5
561,molto,5
235,&egrave;,5
1107,storia,5
135,component,5
51,component,5
985,migliori,5
111,component,5
830,nuove,5
814,presidente,5
1090,&egrave;,5
548,nuove,5
297,nuove,5
999,presidente,5
120,component,5
1084,&egrave;,5
534,presidente,5
411,storia,5
230,&egrave;,5
226,&egrave;,5
705,nuove,5
267,presidente,5
866,migliori,5
673,molto,5
862,migliori,5
854,migliori,5
354,presidente,5
1142,storia,5
967,molto,5
40,component,5
659,storia,5
184,nuove,5
660,molto,5
547,governo,4
492,fatto,4
919,piatto,4
487,paola,4
307,giuseppe,4
483,sempre,4
811,rivolta,4
295,andrea,4
808,tempo,4
293,"parisi,",4
292,passo,4
911,martina,4
896,fanno,4
498,nelle,4
301,rivolta,4
220,tempo,4
898,martina,4
892,piatto,4
204,nuovi,4
884,ferrari,4
512,quattro,4
217,tempo,4
877,nuovo,4
847,&nbsp;,4
842,quattro,4
843,nuovi,4
521,maria,4
290,"parisi,",4
501,fanno,4
286,figlio,4
289,viviana,4
253,&nbsp;,4
714,pandemia,4
712,pandemia,4
273,"parisi,",4
246,quelli,4
247,quelli,4
248,nelle,4
697,figlio,4
624,nuovo,4
625,ferrari,4
250,quattro,4
683,giuseppe,4
238,corriere,4
254,nuovi,4
635,nuovo,4
257,pandemia,4
679,dieci,4
666,martina,4
665,andrea,4
263,governo,4
642,paola,4
643,dieci,4
644,dieci,4
717,giuseppe,4
606,ferrari,4
795,sempre,4
783,flavio,4
564,&nbsp;,4
565,maria,4
567,rivolta,4
787,nuovo,4
288,gioele,4
785,nostra,4
572,paola,4
573,rivolta,4
574,governo,4
480,nostra,4
779,flavio,4
275,gioele,4
579,nelle,4
774,flavio,4
773,ferrari,4
583,gianni,4
283,viviana,4
588,dalle,4
764,dieci,4
762,piatto,4
602,fanno,4
732,fatto,4
197,tempo,4
653,martina,4
992,andrea,4
1004,maria,4
1150,flavio,4
328,pandemia,4
456,figlio,4
376,rossi,4
1143,andrea,4
1141,nostra,4
1130,passo,4
1128,"parisi,",4
1127,viviana,4
1126,gioele,4
1119,dalle,4
1002,fatto,4
339,nuovi,4
1109,sempre,4
1028,sempre,4
1151,piatto,4
333,fatto,4
1094,dalle,4
430,rossi,4
1050,quelli,4
1051,fanno,4
426,figlio,4
1055,dalle,4
423,viviana,4
422,gioele,4
420,passo,4
419,passo,4
1070,nelle,4
1079,nostra,4
1074,giuseppe,4
460,paola,4
413,quelli,4
961,gianni,4
949,&nbsp;,4
350,maria,4
1176,mediagroup,4
1174,mediagroup,4
1170,mediagroup,4
1169,corriere,4
941,gianni,4
366,rossi,4
944,quattro,4
1165,mediagroup,4
1162,corriere,4
1167,corriere,4
372,rossi,4
464,governo,4
950,gianni,4
690,capitale,3
352,padre,3
6,"""url"":",3
1093,questione,3
7,"""url"":",3
3,"""@type"":",3
765,altre,3
1092,questione,3
232,clicca,3
1179,milano,3
1180,capitale,3
1104,sotto,3
1089,figlia,3
8,"""@type"":",3
1087,questione,3
2,italia,3
1083,nostri,3
657,figlia,3
1080,centro,3
656,guerra,3
261,presidi:,3
229,credito,3
1149,mercato,3
757,francesco,3
716,lettere,3
756,altre,3
1078,nuvola,3
1137,nuvola,3
720,acqua,3
721,tutte,3
244,essere,3
686,settimana,3
1120,aziende,3
5,"""@type"":",3
691,pochi,3
237,clicca,3
1112,italia,3
743,pochi,3
9,"""url"":",3
1166,fondazione,3
234,credito,3
746,terzo,3
702,parigi,3
748,pochi,3
1168,fondazione,3
749,serie,3
753,serie,3
930,giorno,3
788,gioco,3
227,clicca,3
878,prezzo,3
947,comprare,3
895,errori,3
890,giorno,3
956,stati,3
958,comprare,3
879,prova,3
959,comprare,3
652,terzo,3
962,centro,3
856,mercato,3
211,parigi,3
976,negli,3
846,lockdown,3
977,prime,3
897,evitare,3
907,errori,3
183,italia,3
936,settimana,3
932,settimana,3
926,segno,3
925,segno,3
924,giorno,3
934,classe,3
923,evitare,3
917,essere,3
942,milioni,3
916,forse,3
937,classe,3
939,milioni,3
913,acqua,3
910,mascherina,3
908,evitare,3
979,lockdown,3
837,scuole,3
1072,segno,3
793,errori,3
809,metro,3
1043,vendita,3
1045,michelangelo,3
225,stato,3
1046,vendita,3
1047,prezzo,3
791,gioco,3
1031,hanno,3
1057,aziende,3
194,nuvola,3
1062,hanno,3
786,prova,3
1064,nostri,3
1071,sotto,3
810,distanza,3
1023,sotto,3
991,nostri,3
825,distanza,3
832,distanza,3
831,mascherina,3
828,gianna,3
219,donne,3
826,obbligatorio,3
1001,lockdown,3
824,metro,3
812,presidi:,3
823,gianna,3
222,donne,3
818,obbligatorio,3
178,lettere,3
817,metro,3
815,presidi:,3
767,serie,3
1182,milano,3
562,donne,3
589,acqua,3
437,valley,3
436,death,3
431,salvo,3
429,valentino,3
554,capitale,3
570,scuole,3
418,forse,3
577,scuole,3
417,valley,3
580,milano,3
416,death,3
586,stati,3
406,francesco,3
341,chiusura,3
403,essere,3
595,chiusura,3
402,valley,3
401,death,3
400,vendita,3
276,salvo,3
396,prime,3
394,"anni,",3
604,guerra,3
607,"chiuse,",3
274,l&rsquo;incidente,3
388,"anni,",3
540,gioco,3
438,forse,3
536,fondazione,3
533,stato,3
478,stati,3
321,prime,3
484,banche,3
472,michelangelo,3
470,prezzo,3
468,tutte,3
496,mascherina,3
465,milioni,3
499,aziende,3
457,banche,3
506,terzo,3
453,obbligatorio,3
507,mercato,3
509,michelangelo,3
450,credito,3
514,parigi,3
447,hanno,3
446,banche,3
309,"chiuse,",3
519,paese,3
523,paese,3
525,centro,3
305,"chiuse,",3
530,paese,3
531,prova,3
387,"anni,",3
476,francesco,3
349,stato,3
345,altre,3
378,padre,3
375,valentino,3
359,lettere,3
361,l&rsquo;incidente,3
377,salvo,3
266,negli,3
347,figlia,3
623,chiusura,3
365,l&rsquo;incidente,3
362,tutte,3
357,negli,3
272,gianna,3
269,classe,3
356,guerra,3
348,padre,3
371,valentino,3
444,un&rsquo;altra,2
445,cessione,2
346,giovanni,2
177,provvisorio,2
443,marito,2
1129,ripercorso,2
1000,durante,2
179,direttore,2
997,italiana,2
1164,marca,2
996,silvia,2
180,beppe,2
994,gatti,2
993,forum,2
448,effettuare,2
449,cessione,2
1006,mamma,2
442,rifiuta,2
1007,prima,2
1008,rischio,2
176,provvisorio,2
1159,storie,2
1025,birra,2
370,incidente,2
1024,l&rsquo;ha,2
441,quanto,2
1022,l&rsquo;ha,2
1021,grazie,2
1020,girata,2
1019,giardino,2
1018,trovata,2
1161,silvia,2
1017,"jeremy,",2
1016,chiocciola,2
369,direzione,2
1015,elena,2
1014,giardino,2
1013,trovata,2
368,michele,2
1012,chiocciola,2
1011,"jeremy,",2
989,sistema,2
1009,contagio,2
990,forum,2
182,direttore,2
181,twitter,2
987,rischio,2
325,immagini,2
1173,diritti,2
957,perfetta,2
1175,direzione,2
466,leonard,2
190,ponte,2
954,rilancio,2
953,mostra,2
324,mascherine,2
951,oltre,2
322,migliaia,2
948,bonus,2
1177,s.p.a.,2
946,modelli,2
945,fasce,2
471,conte,2
192,spagna,2
1178,angelo,2
473,coppia,2
940,fasce,2
938,pronti,2
318,contagiati,2
353,morte,2
960,bonus,2
462,ufficio.,2
461,deciso,2
1171,s.p.a.,2
986,fegato,2
984,elena,2
1027,locali,2
982,fegato,2
981,salvare,2
331,provincia,2
452,possibile,2
978,durante,2
454,ricorso,2
329,primo,2
360,giovanni,2
189,crollo,2
185,version),2
972,cinema,2
971,storie,2
970,diventato,2
969,cecilia,2
186,version),2
458,londra:,2
966,"insieme,",2
187,regionali,2
188,crisi,2
1158,bossi,2
1030,molti,2
1157,isabella,2
338,superiore,2
1102,salva,2
1101,grazie,2
1100,salva,2
1099,inventato,2
1098,marito,2
398,divieto,2
399,sedersi,2
1095,successo,2
383,pirata,2
1138,lavoro,2
1139,dario,2
1091,laura,2
1140,digitale,2
337,consiglio,2
1088,primo,2
405,terra,2
382,terra,2
1085,bossi,2
407,picco,2
408,domenica,2
123,onviewport:,2
125,offset:,2
409,volte,2
1103,rischia,2
1105,belle,2
336,sandro,2
343,discoteche,2
1131,dovizioso,2
1132,addio,2
389,ragazza,2
1124,design,2
1123,italiana,2
1122,ragazza,2
1121,pi&ugrave;,2
390,pirata,2
340,turisti,2
1118,richieste,2
1117,digitale,2
1116,consigli,2
1115,trova,2
1114,quale,2
1113,bellissime,2
393,alberto,2
1111,bellissime,2
1133,pi&ugrave;,2
1110,spiagge,2
1134,beppe,2
1135,vicino,2
1108,modelli,2
395,mentre,2
381,spiaggia,2
344,pronti,2
440,inventato,2
1054,marca,2
1052,guidare,2
427,dubbi,2
428,"premio,",2
1049,secondo,2
1048,saranno,2
374,"premio,",2
432,ricostruzione,2
433,incidente,2
434,"record,",2
1042,vuole,2
1041,daniela,2
1152,spiagge,2
1039,aperti,2
1038,cinque,2
1153,marco,2
1036,cecilia,2
1035,belle,2
1034,vostre,2
1155,mario,2
1032,sedersi,2
439,rifiuta,2
385,discoteca,2
1029,aperti,2
130,offset:,2
334,"coronavirus,",2
412,successo,2
1056,immagini,2
1077,sulle,2
1076,stanno,2
1075,stazione,2
414,"record,",2
128,onviewport:,2
335,peste,2
1144,nuova,2
379,domenica,2
1069,rivoluzione,2
1068,ricci,2
1067,persone,2
1066,nostro,2
1146,persone,2
1065,dovizioso,2
1147,ricci,2
1063,crollo,2
421,l&rsquo;ultimo,2
1061,settore,2
1060,superiore,2
1059,fatturato,2
1058,fatturato,2
424,parisi,2
193,vostre,2
651,teigen,2
490,provincia,2
477,conte,2
737,"insieme,",2
751,occhi,2
750,netflix,2
277,ultime,2
597,discoteche,2
747,penn:,2
598,twiga,2
599,deciso,2
600,provvedimento,2
742,compleanno,2
741,cinema,2
740,penn:,2
739,girata,2
236,aggiornare,2
736,volta,2
933,spagna,2
735,prima,2
734,coppia,2
603,massimo,2
731,continua,2
729,libro,2
608,rabbia,2
240,aggiornato,2
726,dolore,2
725,ottimo,2
724,diventato,2
723,computer,2
241,positivo,2
609,linus:,2
233,carta,2
754,netflix,2
755,volta,2
278,ricostruzione,2
566,serena,2
568,giovani,2
571,statali,2
784,torna,2
576,sembra,2
781,playoff,2
228,carta,2
578,statali,2
778,playoff,2
777,guida,2
775,nostro,2
581,un&rsquo;estate,2
284,parisi,2
772,divieto,2
771,rischia,2
770,frenare,2
281,morte,2
231,aggiornare,2
587,stazione,2
279,angelo,2
1,ultime,2
592,twitter,2
761,molti,2
760,spesso,2
759,marchetti,2
758,simona,2
593,marco,2
610,avete,2
242,leonard,2
718,massimo,2
633,stanno,2
255,nessun,2
636,salvatore,2
637,l&rsquo;ultimo,2
678,piazza,2
677,rivoluzione,2
258,contagio,2
675,settore,2
674,basta,2
638,super,2
672,effettuare,2
671,richieste,2
670,continua,2
669,vicino,2
668,lavoro,2
667,ministero,2
640,compleanno,2
664,ricetta,2
663,blues,2
662,cinque,2
661,sembra,2
262,scuola,2
646,alessio,2
658,blues,2
647,covid-19,2
648,simona,2
655,teigen,2
649,marchetti,2
634,salvatore,2
684,libro,2
611,fatte,2
685,chiara,2
612,"aprire,",2
613,eravate,2
615,discoteche:,2
616,regole,2
711,dell&rsquo;oms,2
245,saranno,2
709,crisi,2
708,dell&rsquo;oms,2
618,daniela,2
619,detto,2
620,discoteca,2
621,twiga,2
703,assessore,2
701,assessore,2
700,addio,2
699,un&rsquo;altra,2
698,misura,2
626,positivo,2
695,ponte,2
271,regole,2
693,movida,2
692,turisti,2
629,guido,2
689,mezza,2
251,ministero,2
630,spagnoli,2
268,"scuola,",2
789,attesa,2
790,quando,2
563,volte,2
202,mamma,2
502,grande,2
503,mauro,2
312,avete,2
894,"estate,",2
893,mezza,2
505,mario,2
891,sulle,2
889,spesso,2
888,mostra,2
887,buona,2
203,centri,2
311,linus:,2
883,isabella,2
205,centri,2
881,ricetta,2
510,stata,2
310,rabbia,2
513,spagnoli,2
876,design,2
875,bluetooth,2
874,wireless,2
873,ottimo,2
872,formation,2
871,dario,2
870,bluetooth,2
869,wireless,2
868,formation,2
500,super,2
900,consiglio,2
865,"portatili,",2
901,chiara,2
479,oltre,2
481,nessun,2
195,parola,2
482,ufficio.,2
927,laura,2
485,londra:,2
317,giovani,2
316,mauro,2
922,consigli,2
921,picco,2
920,stagione,2
315,eravate,2
918,buona,2
650,versione,2
314,"aprire,",2
493,"coronavirus,",2
914,occhi,2
494,peste,2
912,basta,2
495,sandro,2
909,perfetta,2
313,fatte,2
201,dubbi,2
905,stagione,2
904,misura,2
903,quando,2
902,"estate,",2
867,spiaggia,2
864,alessio,2
792,nuova,2
303,discoteche:,2
822,superiori,2
538,rilancio,2
820,studenti,2
539,possibile,2
542,migliaia,2
816,"scuola,",2
543,piazza,2
300,provvedimento,2
224,locali,2
299,movida,2
549,frenare,2
296,mascherine,2
551,grande,2
553,guidare,2
807,quanto,2
806,trova,2
805,smartphone,2
804,versione,2
802,sistema,2
801,aggiornato,2
800,smartphone,2
799,detto,2
798,mentre,2
291,ripercorso,2
796,biancaneve,2
560,stata,2
794,biancaneve,2
537,meeting,2
304,ricorso,2
863,un&rsquo;estate,2
829,attesa,2
515,salvare,2
207,gatti,2
860,"portatili,",2
859,notebook,2
858,quale,2
857,computer,2
516,bello,2
855,guida,2
853,scuola,2
852,notebook,2
308,alberto,2
212,guido,2
849,parola,2
848,michele,2
522,serena,2
845,secondo,2
844,vuole,2
524,torna,2
841,covid-19,2
839,contagiati,2
214,bello,2
306,diritti,2
215,birra,2
835,superiori,2
527,regionali,2
833,studenti,2
529,meeting,2
351,dolore,2
